end_date_of_week,rank,Song,Artists,streams_views,weeks_on_chart,release_date,Platform,Country
2025-07-24,1,DAISIES,Justin Bieber,2445712,2,2025-07-11,Spotify,Australia
2025-07-24,2,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1933714,5,2025-06-20,Spotify,Australia
2025-07-24,3,Ordinary,Alex Warren,1897814,24,2024-09-26,Spotify,Australia
2025-07-24,4,Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",1437230,5,2025-06-20,Spotify,Australia
2025-07-24,5,undressed,sombr,1413023,18,2025-03-21,Spotify,Australia
2025-07-24,6,No Broke Boys,"Disco Lines, Tinashe",1353374,7,2025-06-06,Spotify,Australia
2025-07-24,7,back to friends,sombr,1347120,19,2024-12-27,Spotify,Australia
2025-07-24,8,Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",1306766,5,2025-06-20,Spotify,Australia
2025-07-24,9,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1283030,5,2025-06-20,Spotify,Australia
2025-07-24,10,Eternity,Alex Warren,1263517,1,2025-07-18,Spotify,Australia
2025-07-31,1,DAISIES,Justin Bieber,2078584,3,2025-07-11,Spotify,Australia
2025-07-31,2,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2061041,6,2025-06-20,Spotify,Australia
2025-07-31,3,Ordinary,Alex Warren,1778344,25,2024-09-26,Spotify,Australia
2025-07-31,4,back to friends,sombr,1492584,20,2024-12-27,Spotify,Australia
2025-07-31,5,Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",1480257,6,2025-06-20,Spotify,Australia
2025-07-31,6,Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",1372154,6,2025-06-20,Spotify,Australia
2025-07-31,7,No Broke Boys,"Disco Lines, Tinashe",1359128,8,2025-06-06,Spotify,Australia
2025-07-31,8,undressed,sombr,1350711,19,2025-03-21,Spotify,Australia
2025-07-31,9,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1309205,6,2025-06-20,Spotify,Australia
2025-07-31,10,What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",1142677,6,2025-06-20,Spotify,Australia
2025-08-07,1,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",2241414,7,2025-06-20,Spotify,Australia
2025-08-07,2,DAISIES,Justin Bieber,1938910,4,2025-07-11,Spotify,Australia
